"item_name","datetime","ducats_per_platinum","ducats","wa_price","ducats_per_platinum_wa","position_change_month","position_change_week","position_change_day","volume"
"Cernos Prime Upper Limb","2021-08-29 00:00:00","1.67","15","9.29","1.62","-6","2","6","80"
"Chroma Prime Blueprint","2021-08-29 00:00:00","1.88","15","7.62","1.97","-75","-5","-3","348"
"Chroma Prime Chassis","2021-08-29 00:00:00","5.0","25","4.99","5.01","-16","10","59","217"
"Chroma Prime Neuroptics","2021-08-29 00:00:00","4.0","100","25.57","3.91","-69","33","-3","315"
"Chroma Prime Set","2021-08-29 00:00:00","2.99","205","82.72","2.48","-93","8","-4","1464"
"Chroma Prime Systems","2021-08-29 00:00:00","6.5","65","9.72","6.69","-8","7","0","215"
"Corinth Prime Barrel","2021-08-29 00:00:00","3.33","100","29.39","3.4","-18","-1","-15","125"
"Corinth Prime Blueprint","2021-08-29 00:00:00","7.5","15","2.98","5.03","-7","-60","2","213"
"Corinth Prime Receiver","2021-08-29 00:00:00","9.0","45","4.5","10.01","4","0","10","184"
"Corinth Prime Set","2021-08-29 00:00:00","6.5","260","39.01","6.66","5","9","1","370"
"Corinth Prime Stock","2021-08-29 00:00:00","10.0","100","9.5","10.52","7","18","-1","227"
"Dakra Prime Blade","2021-08-29 00:00:00","2.6","65","26.2","2.48","18","7","3","151"
"Dakra Prime Blueprint","2021-08-29 00:00:00","3.75","45","13.12","3.43","22","2","-32","164"
"Dakra Prime Handle","2021-08-29 00:00:00","1.03","15","14.38","1.04","-6","-5","-3","100"
"Dakra Prime Set","2021-08-29 00:00:00","1.79","125","67.77","1.8399999999999999","-3","2","3","359"
"Destreza Prime Blade","2021-08-29 00:00:00","2.5","100","40.83","2.45","-6","4","-4","105"
"Destreza Prime Blueprint","2021-08-29 00:00:00","9.0","45","4.8","9.37","-4","4","-8","166"
"Destreza Prime Handle","2021-08-29 00:00:00","1.67","15","8.84","1.7000000000000002","2","-8","25","170"
"Destreza Prime Set","2021-08-29 00:00:00","3.2","160","51.55","3.1","7","2","6","369"
"Dethcube Prime Blueprint","2021-08-29 00:00:00","7.69","100","13.78","7.26","-17","-30","-13","203"
"Dethcube Prime Carapace","2021-08-29 00:00:00","11.25","45","4.21","10.68","2","11","9","398"
"Dethcube Prime Cerebrum","2021-08-29 00:00:00","6.67","100","14.49","6.9","-4","2","3","157"
"Dethcube Prime Set","2021-08-29 00:00:00","7.43","260","38.83","6.7","-15","-10","-10","491"
"Dethcube Prime Systems","2021-08-29 00:00:00","5.0","15","3.7199999999999998","4.04","-8","-6","4","279"
"Dual Kamas Prime Blade","2021-08-29 00:00:00","2.04","100","49.45","2.02","-10","8","-3","130"
"Dual Kamas Prime Blueprint","2021-08-29 00:00:00","1.88","15","8.4","1.79","5","-7","-6","191"
"Dual Kamas Prime Handle","2021-08-29 00:00:00","4.5","45","9.53","4.72","16","0","1","243"
"Dual Kamas Prime Set","2021-08-29 00:00:00","2.35","305","138.47","2.2","3","6","-3","462"
"Ember Prime Blueprint","2021-08-29 00:00:00","3.33","100","33.67","2.9699999999999998","-33","0","-4","377"
"Ember Prime Chassis","2021-08-29 00:00:00","0.5","15","29.67","0.51","1","2","0","201"
"Ember Prime Neuroptics","2021-08-29 00:00:00","0.6000000000000001","15","25.0","0.6000000000000001","-2","-1","0","285"
"Ember Prime Set","2021-08-29 00:00:00","1.35","175","138.74","1.26","-7","-4","-11","2067"
"Ember Prime Systems","2021-08-29 00:00:00","1.8","45","26.33","1.71","14","14","0","348"
"Equinox Prime Blueprint","2021-08-29 00:00:00","3.21","45","14.32","3.14","-46","-16","-3","252"
"Equinox Prime Chassis","2021-08-29 00:00:00","3.0","15","4.74","3.17","46","32","-2","290"
"Equinox Prime Neuroptics","2021-08-29 00:00:00","4.5","45","8.98","5.01","-33","-3","6","282"
"Equinox Prime Set","2021-08-29 00:00:00","3.15","205","70.65","2.9","9","-2","1","1423"
"Equinox Prime Systems","2021-08-29 00:00:00","3.33","100","31.33","3.19","-28","-5","-13","199"
"Euphona Prime Barrel","2021-08-29 00:00:00","6.43","45","7.65","5.88","23","6","2","176"
"Euphona Prime Blueprint","2021-08-29 00:00:00","3.0","15","4.68","3.21","1","4","23","176"
